graph_index,num_nodes,num_edges,avg_node_degree,node_types_frequency,nodes_types,edge_types_frequency,edges_types,graph_label
0,17,38,2.235294117647059,"{'atom_type_0': 14, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 1, '15': 2, '16': 2}","{'bond_type_0': 32, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 9]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 0, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 13]': 0, '[9, 3]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 14]': 1, '[13, 8]': 0, '[13, 12]': 0, '[14, 12]': 1, '[14, 15]': 2, '[14, 16]': 1, '[15, 14]': 2, '[16, 14]': 1}",1
1,13,28,2.1538461538461537,"{'atom_type_0': 9, 'atom_type_1': 2, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 1, '11': 2, '12': 2}","{'bond_type_0': 22, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 7]': 0, '[3, 2]': 0, '[3, 4]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 2]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 10]': 1, '[9, 0]': 0, '[9, 8]': 0, '[10, 8]': 1, '[10, 11]': 2, '[10, 12]': 1, '[11, 10]': 2, '[12, 10]': 1}",0
2,13,28,2.1538461538461537,"{'atom_type_0': 9, 'atom_type_1': 2, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 1, '11': 2, '12': 2}","{'bond_type_0': 22, 'bond_type_1': 4, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 7]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 8]': 0, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 2]': 0, '[7, 6]': 0, '[8, 3]': 0, '[8, 9]': 0, '[8, 10]': 1, '[9, 0]': 0, '[9, 8]': 0, '[10, 8]': 1, '[10, 11]': 2, '[10, 12]': 1, '[11, 10]': 2, '[12, 10]': 1}",0
3,19,44,2.3157894736842106,"{'atom_type_0': 16, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 2, '18': 2}","{'bond_type_0': 34, 'bond_type_1': 8, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 12]': 1, '[4, 3]': 0, '[4, 5]': 0, '[4, 6]': 1, '[5, 0]': 0, '[5, 4]': 0, '[6, 4]': 1, '[6, 7]': 0, '[6, 11]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 15]': 0, '[11, 6]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 3]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[13, 16]': 1, '[14, 13]': 0, '[14, 15]': 0, '[15, 10]': 0, '[15, 14]': 0, '[16, 13]': 1, '[16, 17]': 2, '[16, 18]': 1, '[17, 16]': 2, '[18, 16]': 1}",1
4,11,22,2.0,"{'atom_type_0': 6, 'atom_type_1': 1, 'atom_type_2': 2, 'atom_type_3': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 3, '7': 1, '8': 2, '9': 2, '10': 3}","{'bond_type_0': 12, 'bond_type_1': 8, 'bond_type_2': 2}","{'[0, 1]': 0, '[0, 5]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 10]': 1, '[3, 2]': 0, '[3, 4]': 0, '[3, 7]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 0]': 0, '[5, 4]': 0, '[5, 6]': 1, '[6, 5]': 1, '[7, 3]': 1, '[7, 8]': 2, '[7, 9]': 1, '[8, 7]': 2, '[9, 7]': 1, '[10, 2]': 1}",0
5,28,62,2.2142857142857144,"{'atom_type_0': 16, 'atom_type_1': 4, 'atom_type_2': 8}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 1, '17': 2, '18': 2, '19': 1, '20': 2, '21': 2, '22': 1, '23': 2, '24': 2, '25': 1, '26': 2, '27': 2}","{'bond_type_0': 38, 'bond_type_1': 16, 'bond_type_2': 8}","{'[0, 1]': 0, '[0, 9]': 0, '[1, 0]': 0, '[1, 2]': 0, '[2, 1]': 0, '[2, 3]': 0, '[2, 7]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 25]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[5, 22]': 1, '[6, 5]': 0, '[6, 7]': 0, '[6, 15]': 0, '[7, 2]': 0, '[7, 6]': 0, '[7, 8]': 0, '[8, 7]': 0, '[8, 9]': 0, '[8, 13]': 0, '[9, 0]': 0, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[10, 19]': 1, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 16]': 1, '[13, 8]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 6]': 0, '[15, 14]': 0, '[16, 12]': 1, '[16, 17]': 2, '[16, 18]': 1, '[17, 16]': 2, '[18, 16]': 1, '[19, 10]': 1, '[19, 20]': 2, '[19, 21]': 1, '[20, 19]': 2, '[21, 19]': 1, '[22, 5]': 1, '[22, 23]': 2, '[22, 24]': 1, '[23, 22]': 2, '[24, 22]': 1, '[25, 3]': 1, '[25, 26]': 2, '[25, 27]': 1, '[26, 25]': 2, '[27, 25]': 1}",1
6,16,34,2.125,"{'atom_type_0': 13, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 2, '9': 2, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0}","{'bond_type_0': 24, 'bond_type_1': 8, 'bond_type_2': 2}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 0, '[1, 6]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[3, 10]': 1, '[4, 3]': 0, '[4, 5]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 1]': 0, '[6, 5]': 0, '[6, 7]': 1, '[7, 6]': 1, '[7, 8]': 2, '[7, 9]': 1, '[8, 7]': 2, '[9, 7]': 1, '[10, 3]': 1, '[10, 11]': 0, '[10, 15]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 10]': 0, '[15, 14]': 0}",0
7,20,44,2.2,"{'atom_type_0': 15, 'atom_type_1': 1, 'atom_type_2': 4}","{'0': 0, '1': 0, '2': 2, '3': 2, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 0, '15': 0, '16': 0, '17': 1, '18': 2, '19': 2}","{'bond_type_0': 24, 'bond_type_1': 16, 'bond_type_2': 4}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 2, '[1, 3]': 1, '[2, 1]': 2, '[3, 1]': 1, '[3, 4]': 1, '[4, 3]': 1, '[4, 5]': 0, '[4, 9]': 0, '[5, 4]': 0, '[5, 6]': 0, '[6, 5]': 0, '[6, 7]': 0, '[7, 6]': 0, '[7, 8]': 0, '[7, 12]': 1, '[8, 7]': 0, '[8, 9]': 0, '[8, 10]': 1, '[9, 4]': 0, '[9, 8]': 0, '[10, 8]': 1, '[10, 11]': 1, '[11, 10]': 1, '[11, 12]': 0, '[11, 16]': 0, '[12, 7]': 1, '[12, 11]': 0, '[12, 13]': 0, '[13, 12]': 0, '[13, 14]': 0, '[14, 13]': 0, '[14, 15]': 0, '[15, 14]': 0, '[15, 16]': 0, '[15, 17]': 1, '[16, 11]': 0, '[16, 15]': 0, '[17, 15]': 1, '[17, 18]': 2, '[17, 19]': 1, '[18, 17]': 2, '[19, 17]': 1}",1
8,12,26,2.1666666666666665,"{'atom_type_0': 7, 'atom_type_1': 3, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 1, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 1, '10': 2, '11': 2}","{'bond_type_0': 0, 'bond_type_1': 16, 'bond_type_2': 10}","{'[0, 1]': 2, '[0, 8]': 1, '[1, 0]': 2, '[1, 2]': 1, '[2, 1]': 1, '[2, 3]': 2, '[2, 6]': 1, '[3, 2]': 2, '[3, 4]': 1, '[4, 3]': 1, '[4, 5]': 2, '[5, 4]': 2, '[5, 6]': 1, '[6, 2]': 1, '[6, 5]': 1, '[6, 7]': 1, '[7, 6]': 1, '[7, 8]': 2, '[8, 0]': 1, '[8, 7]': 2, '[8, 9]': 1, '[9, 8]': 1, '[9, 10]': 2, '[9, 11]': 1, '[10, 9]': 2, '[11, 9]': 1}",0
9,17,38,2.235294117647059,"{'atom_type_0': 14, 'atom_type_1': 1, 'atom_type_2': 2}","{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0, '13': 0, '14': 1, '15': 2, '16': 2}","{'bond_type_0': 24, 'bond_type_1': 12, 'bond_type_2': 2}","{'[0, 1]': 1, '[1, 0]': 1, '[1, 2]': 0, '[1, 6]': 0, '[2, 1]': 0, '[2, 3]': 0, '[3, 2]': 0, '[3, 4]': 0, '[4, 3]': 0, '[4, 5]': 0, '[4, 9]': 1, '[5, 4]': 0, '[5, 6]': 0, '[5, 7]': 1, '[6, 1]': 0, '[6, 5]': 0, '[7, 5]': 1, '[7, 8]': 1, '[8, 7]': 1, '[8, 9]': 0, '[8, 13]': 0, '[9, 4]': 1, '[9, 8]': 0, '[9, 10]': 0, '[10, 9]': 0, '[10, 11]': 0, '[11, 10]': 0, '[11, 12]': 0, '[12, 11]': 0, '[12, 13]': 0, '[12, 14]': 1, '[13, 8]': 0, '[13, 12]': 0, '[14, 12]': 1, '[14, 15]': 2, '[14, 16]': 1, '[15, 14]': 2, '[16, 14]': 1}",1
